Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2021,46097931,Emarion Ellis, CG ,6-5,175,Assumption,Davenport,IA,0.9389,109,7,2,marquette
2021,46058132,Wade Taylor, PG ,5-10,180,Lancaster,Lancaster,TX,0.9388,110,18,7,texas am
2021,46083365,Blake Wesley, SG ,6-4,170,Riley,South Bend,IN,0.9381,111,27,4,notre dame
2021,46094162,Ryan Mutombo, C ,6-11,235,Lovett School,Atlanta,GA,0.9376,112,17,6,georgetown
2021,46100043,Darius Johnson, PG ,6-0,180,Episcopal,Alexandria,VA,0.9371,113,19,4,central florida
2021,46058956,Cesare Edwards, C ,6-10,205,Hartsville,Hartsville,SC,0.9368,114,18,4,xavier
2021,46085751,Sam Ayomide, C ,6-11,255,The Phelps School,Malvern,PA,0.9364,115,19,6,memphis
2021,46050550,David Joplin, PF ,6-7,215,Brookfield Central,Brookfield,WI,0.9363,116,20,3,marquette
2021,46101145,Nisine Poplar, SG ,6-4,180,Math Civics And Sciences Cs,Philadelphia,PA,0.9342,117,28,7,miami
2021,46109232,Cameron Hildreth, SG ,6-4,180,England,England,ENGL,0.9331,118,29,1,wake forest
2021,46085760,Jordan Riley, SG ,6-4,195,Brentwood,Brentwood,NY,0.9327,119,30,2,georgetown
2021,46056383,Chucky Hepburn, PG ,6-1,185,Bellevue West,Bellevue,NE,0.9311,120,20,2,wisconsin
2021,46103577,Jalon Moore, SF ,6-6,200,Gardendale,Gardendale,AL,0.9305,121,25,2,georgia tech
2021,46057675,Treyton Thompson, C ,6-11,190,La Lumiere School,La Porte,IN,0.9302,122,20,5,minnesota
2021,46101199,Rafael Castro, PF ,6-9,200,Dover,Dover,NJ,0.9298,123,21,4,providence
2021,46080019,Tyler Powell, SF ,6-5,210,Ribet Academy,Los Angeles,CA,0.9291,124,26,8,seton hall
2021,46086380,Jacobi Wright, CG ,6-2,170,Legacy Charter,Greenville,SC,0.9287,125,8,5,south carolina
2021,46085167,Angelo Brizzi, CG ,6-3,170,Highland,Warrenton,VA,0.9282,126,9,5,villanova
2021,46085456,Elijah Tucker, PF ,6-7,190,Cherokee,Canton,GA,0.9280,127,22,7,xavier
2021,46113052,Camryn Carter, SG ,6-3,180,Oak Hill Academy,Mouth Of Wilson,VA,0.9275,128,31,6,mississippi state
2021,46103352,Zhuric Phelps, PG ,6-3,175,Duncanville,Duncanville,TX,0.9275,129,21,8,smu
2021,46080358,Devin Carter, CG ,6-4,175,Brewster Academy,Wolfeboro,NH,0.9273,130,10,2,south carolina
2021,46085915,Kaleb Washington, SF ,6-7,185,Pebblebrook,Mableton,GA,0.9271,131,27,8,dayton
2021,46097405,Robert McCray, CG ,6-3,170,A C Flora,Columbia,SC,0.9264,132,11,6,wake forest
2021,46056541,John Camden, SF ,6-7,195,Brewster Academy,Wolfeboro,NH,0.9264,133,28,3,memphis
2021,46058630,Joshua Beadle, CG ,6-3,168,Cardinal Newman School,Columbia,SC,0.9260,134,12,7,clemson
2021,46055704,AJ Neal, CG ,6-1,175,West Oaks Academy,Orlando,FL,0.9256,135,13,18,NULL
2021,46099488,Ja'Vier Francis, C ,6-8,200,Montverde Academy,Montverde,FL,0.9255,136,21,19,houston
2021,46102828,Sean Pedulla, CG ,6-1,175,Memorial,Edmond,OK,0.9252,137,14,2,virginia tech
2021,46085552,J.R. Konieczny, SF ,6-6,170,St Joseph's,South Bend,IN,0.9251,138,29,6,notre dame
