Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,Noah Davis, TE ,0.8615,michigan state,cincinnati,Big Ten,American Athletic
2020,Jordan Pouncey, WR ,0.8540,texas,florida,Big 12,SEC
2020,Cason Grant, WR ,NULL,mississippi state,oklahoma,SEC,Big 12
2020,Matt Lynch, TE ,0.8565,ucla,colorado,Pacific-12,Pacific-12
2020,Aaron Young, WR ,0.8529,duke,florida atlantic,ACC,Conference USA
2020,Darius Pittman, TE ,0.8214,purdue,temple,Big Ten,American Athletic
2020,Obi Obialo, WR ,0.8147,marshall,oklahoma,Conference USA,Big 12
2020,Desmond Dan, WR ,0.7783,new mexico state,illinois,FBS Independents,Big Ten
2020,Miles Jones, WR ,0.8741,nebraska,tennessee,Big Ten,SEC
2020,Corey Rau, TE ,0.8149,smu,ohio state,American Athletic,Big Ten
2020,Jay Banks Jr., WR ,NULL,louisville,mississippi state,ACC,SEC
2020,Tyrell Shavers, WR ,0.9587,alabama,mississippi state,SEC,SEC
2020,Scott Bracey, WR ,0.9343,duke,james madison,ACC,CAA
2020,Devonta Jason, WR ,0.9297,mississippi state,nicholls state,SEC,Southland
2020,Jaquayln Crawford, WR ,0.9267,oklahoma,arkansas,Big 12,SEC
2020,Chadarius Townsend, WR ,0.9259,alabama,texas tech,SEC,Big 12
2020,T.J. Chase, WR ,0.9158,clemson,florida atlantic,ACC,Conference USA
2020,Cameron Chambers, WR ,0.9103,michigan state,null,Big Ten,NULL
2020,Jashawn Sheffield, WR ,0.9086,auburn,middle tennessee state,SEC,Conference USA
2020,L.C. Greenwood, WR ,0.9074,oklahoma state,null,Big 12,NULL
2020,Miles Battle, WR ,0.8958,ole miss,ole miss,SEC,SEC
2020,Jaevon McQuitty, WR ,0.8944,nebraska,south dakota,Big Ten,Missouri Valley
2020,Jacoby Pinckney, WR ,0.8910,virginia tech,appalachian state,ACC,Sun Belt
2020,TQ Jackson, WR ,0.8904,arkansas,smu,SEC,American Athletic
2020,McCallan Castles, TE ,0.8884,california,uc davis,Pacific-12,Big Sky
2020,Jordan Murphy, WR ,0.8883,tennessee,null,SEC,NULL
2020,Daevon Robinson, WR ,0.8863,rutgers,robert morris,Big Ten,Northeast
2020,J.T. Cauthen, WR ,0.8863,north carolina,null,ACC,NULL
2020,Jaron Woodyard, WR ,0.8859,nebraska,marshall,Big Ten,Conference USA
2020,D'Marcus Adams, WR ,0.8858,florida state,florida atlantic,ACC,Conference USA
2020,Kam Scott, WR ,0.8851,missouri,houston,SEC,American Athletic
2020,John Humphrey, WR ,0.8844,arizona state,nevada,Pacific-12,Mountain West
2020,Keyshawn Pie Young, WR ,0.8825,marshall,null,Conference USA,NULL
2020,Dionte Marks, WR ,0.8817,florida,ole miss,SEC,SEC
2020,CJ Moore, WR ,0.8817,oklahoma state,null,Big 12,NULL
2020,Roshauud Paul, WR ,0.8815,texas am,arkansas state,SEC,Sun Belt
2020,Braedin Huffman-Dixon, WR ,0.8784,colorado,null,Pacific-12,NULL
2020,Jovani Haskins, TE ,0.8776,west virginia,rutgers,Big 12,Big Ten
2020,Andre Hunt, WR ,0.8742,nebraska,null,Big Ten,NULL
2020,Glenn Beal, TE ,0.8723,texas am,louisiana,SEC,Sun Belt
2020,Zion Roland, WR ,0.8710,south florida,null,American Athletic,NULL
2020,Michael Young, WR ,0.8706,notre dame,cincinnati,FBS Independents,American Athletic
2020,Camron Horry, TE ,0.8700,texas am,null,SEC,NULL
2020,Tyrell Alexander, WR ,0.8696,oklahoma state,vanderbilt,Big 12,SEC
2020,JD Spielman, WR ,0.8690,nebraska,tcu,Big Ten,Big 12
2020,Jalen Jordan, WR ,0.8689,rutgers,maine,Big Ten,CAA
2020,Dillon Spalding, WR ,0.8681,james madison,virginia tech,CAA,ACC
2020,Brian Polendey, TE ,0.8681,miami,colorado state,ACC,Mountain West
2020,Noah Henderson, WR ,0.8677,charlotte,furman,Conference USA,Southern
2020,Nic McTear, TE ,0.8675,san diego state,southeastern louisiana,Mountain West,Southland
2020,Marvin Alexander, WR ,0.8675,kentucky,florida atlantic,SEC,Conference USA
2020,Julon Williams, WR ,0.8664,houston,utsa,American Athletic,Conference USA
2020,Leroy Henley, WR ,0.8641,east carolina,richmond,American Athletic,CAA
2020,Scooter Harrington, TE ,0.8635,stanford,stanford,Pacific-12,Pacific-12
2020,Devaughn Cooper, WR ,0.8624,utep,null,Conference USA,NULL
2020,Daniel Imatorbhebhe, TE ,0.8624,usc,illinois,Pacific-12,Big Ten
2020,Phil Patterson, WR ,0.8610,virginia tech,null,ACC,NULL
2020,Marquis McClain, WR ,0.8605,auburn,null,SEC,NULL
2020,Nathaniel Beal III, WR ,0.8601,virginia,virginia,ACC,ACC
2020,Jared Bubak, TE ,0.8600,arizona state,nebraska,Pacific-12,Big Ten
2020,Michael Irvin II, TE ,0.8599,miami,florida atlantic,ACC,Conference USA
2020,Sean Nelson, WR ,0.8590,maryland,null,Big Ten,NULL
2020,Kofi Boateng, WR ,0.8584,arkansas,null,SEC,NULL
2020,Jordan Wilson, TE ,0.8574,ucla,florida state,Pacific-12,ACC
2020,Jayden Comma, WR ,0.8574,maryland,null,Big Ten,NULL
2020,Tevin Bush, WR ,0.8569,west virginia,nicholls state,Big 12,Southland
2020,Donald Stewart, WR ,0.8568,stanford,wake forest,Pacific-12,ACC
2020,DK Blaylock, WR ,0.8567,boise state,null,Mountain West,NULL
2020,Hezekiah Grimsley, WR ,0.8559,virginia tech,hampton,ACC,MEAC
2020,Tony Poljan, TE ,0.8553,central michigan,virginia,Mid-American,ACC
2020,Darrion Jones, TE ,0.8548,colorado,null,Pacific-12,NULL
2020,Noah Turner, TE ,0.8543,north carolina,james madison,ACC,CAA
2020,Thomas Marcus, WR ,0.8533,arizona,montana state,Pacific-12,Big Sky
2020,Isaiah Smalls, TE ,0.8527,oregon state,idaho state,Pacific-12,Big Sky
2020,Khmari Thompson, WR ,0.8527,missouri,illinois,SEC,Big Ten
2020,Jorien Vallien, WR ,0.8520,tulane,southern,American Athletic,SWAC
