Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,45573146,Samba Diallo, SF ,0.9145,massachusetts,manhattan,Atlantic 10,MAAC
2020,83588,Mayan Kiir, PF ,0.9035,south florida,new mexico state,American Athletic,WAC
2020,75459,Rapolas Ivanauskas, PF ,0.9032,colgate,cincinnati,Patriot League,American Athletic
2020,77025,Jalen Johnson, SF ,0.9024,tennessee,wake forest,SEC,ACC
2020,46057570,Khalid Thomas, PF ,0.9000,arizona state,portland state,Pacific-12,Big Sky
2020,34316,Deshawn Corprew, SF ,0.8939,texas tech,NULL,Big 12,NULL
2020,46042946,Kristian Sjolund, SF ,0.8916,georgia tech,utep,ACC,Conference USA
2020,89894,Trey Jemison, PF ,0.8907,clemson,alabama birmingham,ACC,Conference USA
2020,46035577,Dana Tate, SF ,0.8896,rhode island,siena,Atlantic 10,MAAC
2020,46039928,Luke Anderson, PF ,0.8893,iowa state,south florida,Big 12,American Athletic
2020,46036058,Dontarius James, SF ,0.8876,xavier,jacksonville,Big East,Atlantic Sun
2020,92186,Ryan Boyce, SF ,0.8857,georgia state,NULL,Sun Belt,NULL
2020,92186,Ryan Boyce, SF ,0.8857,memphis,georgia state,American Athletic,Sun Belt
2020,91667,Brandon Huffman I, PF ,0.8849,north carolina,jacksonville state,ACC,Ohio Valley
2020,82239,Jeriah Horne, PF ,0.8803,nebraska,colorado,Big Ten,Pacific-12
2020,82239,Jeriah Horne, SF ,0.8803,tulsa,NULL,American Athletic,NULL
2020,4663855,Yor Anei, PF ,0.8800,oklahoma state,smu,Big 12,American Athletic
2020,76133,Zach Kent, PF ,0.8795,tennessee,delaware state,SEC,MEAC
2020,46035838,Antavion Collum, SF ,0.8785,ole miss,NULL,SEC,NULL
2020,46035597,PJ Horne, PF ,0.8784,virginia tech,georgia,ACC,SEC
2020,38114,Goanar Mar, SF ,0.8769,george mason,NULL,Atlantic 10,NULL
2020,93052,Marcedus Leech, SF ,0.8764,iowa state,NULL,Big 12,NULL
2020,46048800,Yavuz Gultekin, PF ,0.8760,texas am,san diego,SEC,West Coast
2020,24013,Andre Adams, SF ,0.8760,southern utah,boston college,Big Sky,ACC
2020,75362,Kevin Marfo, SF ,0.8755,quinnipiac,texas am,MAAC,SEC
2020,87231,Ed Chang, SF ,0.8752,san diego state,missouri,Mountain West,SEC
2020,27375,Jordan Bruner, SF ,0.8751,yale,alabama,Ivy,SEC
2020,45573418,DeAntoni Gordon, PF ,0.8744,wichita state,NULL,American Athletic,NULL
2020,46076788,Andre Allen, PF ,0.8728,arizona state,southern,Pacific-12,SWAC
2020,92766,Donnie Tillman, PF ,0.8726,unlv,new mexico state,Mountain West,WAC
2020,45572916,Mekhi Long, SF ,0.8723,rhode island,old dominion,Atlantic 10,Conference USA
2020,90423,KeyShawn Feazell, PF ,0.8711,mississippi state,mcneese state,SEC,Southland
2020,46047604,Chris Doherty, SF ,0.8702,notre dame,northeastern,ACC,CAA
2020,87323,B.J. Mack, PF ,0.8702,south florida,wofford,American Athletic,Southern
2020,75137,Daron Henson, PF ,0.8678,washington state,seattle,Pacific-12,WAC
2020,46036183,Drew Peterson, SF ,0.8678,rice,usc,Conference USA,Pacific-12
2020,46051901,Oton Jankovic, PF ,0.8678,vanderbilt,tulane,SEC,American Athletic
2020,46042298,Michael Peake, PF ,0.8678,georgia,austin peay,SEC,Ohio Valley
2020,30977,Cordell Pemsl, SF ,0.8649,iowa,virginia tech,Big Ten,ACC
2020,76114,Melo Eggleston, SF ,0.8637,arkansas state,bryant,Sun Belt,Northeast
2020,91160,Makhtar Gueye, SF ,0.8616,alabama birmingham,towson,Conference USA,CAA
2020,34684,Tomas Murphy, PF ,0.8616,northeastern,vermont,CAA,America East
2020,93675,Marcus Santos-Silva, PF ,0.8606,virginia commonwealth,texas tech,Atlantic 10,Big 12
2020,46040834,Gabe Osabuohien, SF ,0.8600,arkansas,NULL,SEC,NULL
2020,46044153,Tyron Brewer, SF ,0.8600,southeastern louisiana,etsu,Southland,Southern
2020,46038088,Isaiah Wilkins, SF ,0.8600,virginia tech,wake forest,ACC,ACC
2020,45572920,Zach Crisler, PF ,0.8600,rice,NULL,Conference USA,NULL
2020,46036829,Ricky Lindo, PF ,0.8578,maryland,george washington,Big Ten,Atlantic 10
2020,46083888,Kevin Cross, PF ,0.8556,nebraska,tulane,Big Ten,American Athletic
2020,46045633,Bakari Simmons, SF ,0.8556,texas am,NULL,SEC,NULL
2020,46048887,Carlos Curry, PF ,0.8556,ole miss,NULL,SEC,NULL
2020,46035954,Nigel Shadd, SF ,0.8530,kansas state,pacific,Big 12,West Coast
2020,86099,Jaylen Sebree, SF ,0.8530,florida atlantic,NULL,Conference USA,NULL
2020,93642,Michael Wynn, SF ,0.8528,wake forest,akron,ACC,Mid-American
2020,36409,Harrison Henderson, SF ,0.8527,wisconsin milwaukee,southern,Horizon,SWAC
2020,46079055,James Jean-Marie, SF ,0.8517,san diego,hawaii,West Coast,Big West
2020,79593,Justyn Mutts, SF ,0.8517,delaware,virginia tech,CAA,ACC
2020,46054489,Jakub Dombek, PF ,0.8500,colorado,hartford,Pacific-12,America East
2020,94654,Josh Linder, PF ,0.8500,georgia state,tennessee state,Sun Belt,Ohio Valley
2020,46035526,Levi Stockard, SF ,0.8496,kansas state,virginia commonwealth,Big 12,Atlantic 10
2020,77072,Dontay Bassett, SF ,0.8441,florida,weber state,SEC,Big Sky
2020,89750,E.J. Datcher, PF ,0.8426,mississippi state,NULL,SEC,NULL
2020,46046808,Kavonte Ivery, SF ,0.8400,georgia state,NULL,Sun Belt,NULL
2020,86369,Samson George, PF ,0.8338,pittsburgh,central arkansas,ACC,Southland
2020,46044150,Lemmie Howard, SF ,0.8333,jackson state,NULL,SWAC,NULL
2020,46044217,Jalen Johnson, SF ,0.8333,louisiana,mississippi state,Sun Belt,SEC
2020,46046203,Bobby Planutis, SF ,0.8333,saint bonaventure,NULL,Atlantic 10,NULL
2020,45573331,Omar Habwe, SF ,0.8333,mount st marys,stony brook,Northeast,America East
2020,46043435,Chris Seeley, SF ,0.8333,fresno state,NULL,Mountain West,NULL
2020,93732,Cedrick Alley Jr., SF ,0.8333,houston,utsa,American Athletic,Conference USA
2020,94679,Evan Cole, PF ,0.8274,georgia tech,utah valley,ACC,WAC
2020,87083,James Love, SF ,0.8261,kansas state,eastern michigan,Big 12,Mid-American
2020,46059384,Ody Oguama, PF ,0.8228,wake forest,NULL,ACC,NULL
2020,76827,Arnaldo Toro, SF ,0.8218,george washington,saint johns,Atlantic 10,Big East
2020,46080605,Andrei Savrasov, PF ,0.8000,texas tech,georgia southern,Big 12,Sun Belt
